1001,"Autauga County, Alabama",0,817,10202,71561,301156
1001,"Autauga County, Alabama",11,6,58,548,2862
1001,"Autauga County, Alabama",21,3,83,682,2596
1001,"Autauga County, Alabama",22,9,177,3596,15456
1001,"Autauga County, Alabama",23,70,349,2819,12781
1001,"Autauga County, Alabama",31-33,21,,,
1001,"Autauga County, Alabama",42,29,,,9080
1001,"Autauga County, Alabama",44-45,165,2525,14304,58221
1001,"Autauga County, Alabama",48-49,17,137,1161,4926
1001,"Autauga County, Alabama",51,9,81,846,3027
1001,"Autauga County, Alabama",52,66,374,4120,15616
1001,"Autauga County, Alabama",53,34,107,848,3454
1001,"Autauga County, Alabama",54,50,285,2850,11956
1001,"Autauga County, Alabama",55,2,,,
1001,"Autauga County, Alabama",56,24,111,646,2781
1001,"Autauga County, Alabama",61,5,,,
1001,"Autauga County, Alabama",62,91,1614,11704,49850
1001,"Autauga County, Alabama",71,11,244,769,3519
1001,"Autauga County, Alabama",72,86,1973,6303,27442
1001,"Autauga County, Alabama",81,116,775,3355,13827
1001,"Autauga County, Alabama",99,3,,,47
1003,"Baldwin County, Alabama",0,4969,56531,405381,1749241
1003,"Baldwin County, Alabama",11,9,,,440
1003,"Baldwin County, Alabama",21,9,79,912,4243
1003,"Baldwin County, Alabama",22,11,,,
1003,"Baldwin County, Alabama",23,491,2848,27131,124818
1003,"Baldwin County, Alabama",31-33,152,4052,44122,180350
1003,"Baldwin County, Alabama",42,229,2151,26319,109044
1003,"Baldwin County, Alabama",44-45,975,13471,78885,325675
1003,"Baldwin County, Alabama",48-49,131,927,8443,37148
1003,"Baldwin County, Alabama",51,70,582,6844,26258
1003,"Baldwin County, Alabama",52,336,1596,20702,80944
1003,"Baldwin County, Alabama",53,306,1911,12974,60314
1003,"Baldwin County, Alabama",54,449,1856,18291,85812
1003,"Baldwin County, Alabama",55,19,257,4562,20618
1003,"Baldwin County, Alabama",56,256,2706,15109,68452
1003,"Baldwin County, Alabama",61,41,946,,48656
1003,"Baldwin County, Alabama",62,465,6953,64402,278601
1003,"Baldwin County, Alabama",71,80,976,3374,17859
1003,"Baldwin County, Alabama",72,478,11994,41124,195604
1003,"Baldwin County, Alabama",81,453,2948,16130,67534
1003,"Baldwin County, Alabama",99,9,2,6,147
1005,"Barbour County, Alabama",0,464,6481,51459,205037
1005,"Barbour County, Alabama",11,12,163,1310,5489
1005,"Barbour County, Alabama",21,4,,,
1005,"Barbour County, Alabama",22,9,,,
1005,"Barbour County, Alabama",23,29,,767,2882
1005,"Barbour County, Alabama",31-33,26,,,
1005,"Barbour County, Alabama",42,16,125,660,2693
1005,"Barbour County, Alabama",44-45,88,870,4678,18523
1005,"Barbour County, Alabama",48-49,25,382,4068,17805
1005,"Barbour County, Alabama",51,5,27,370,1392
1005,"Barbour County, Alabama",52,40,189,1816,6079
1005,"Barbour County, Alabama",53,20,41,204,920
1005,"Barbour County, Alabama",54,37,110,1142,4152
1005,"Barbour County, Alabama",56,9,,726,2558
1005,"Barbour County, Alabama",61,4,,,
1005,"Barbour County, Alabama",62,43,644,5156,21913
1005,"Barbour County, Alabama",71,4,,,
1005,"Barbour County, Alabama",72,51,779,1965,7604
1005,"Barbour County, Alabama",81,38,186,929,3981
1005,"Barbour County, Alabama",99,4,,,36
1007,"Bibb County, Alabama",0,274,3424,29756,119862
1007,"Bibb County, Alabama",11,10,50,588,2538
1007,"Bibb County, Alabama",21,1,,,
1007,"Bibb County, Alabama",22,5,,,
1007,"Bibb County, Alabama",23,24,873,10855,42284
1007,"Bibb County, Alabama",31-33,19,344,3368,14552
1007,"Bibb County, Alabama",42,16,78,857,3266
1007,"Bibb County, Alabama",44-45,49,521,3052,11996
1007,"Bibb County, Alabama",48-49,12,113,997,4386
1007,"Bibb County, Alabama",51,3,,,
1007,"Bibb County, Alabama",52,16,82,651,2505
1007,"Bibb County, Alabama",53,8,,,
1007,"Bibb County, Alabama",54,16,48,325,1212
1007,"Bibb County, Alabama",55,1,,,
1007,"Bibb County, Alabama",56,12,,,
1007,"Bibb County, Alabama",61,2,,,
1007,"Bibb County, Alabama",62,27,645,4878,20628
1007,"Bibb County, Alabama",71,3,6,26,138
1007,"Bibb County, Alabama",72,12,239,787,3412
1007,"Bibb County, Alabama",81,38,163,1001,3953
1009,"Blount County, Alabama",0,656,6446,45490,190436
1009,"Blount County, Alabama",11,4,20,80,268
1009,"Blount County, Alabama",21,1,,,
1009,"Blount County, Alabama",22,2,,,
1009,"Blount County, Alabama",23,77,326,2372,12049
1009,"Blount County, Alabama",31-33,37,,,
1009,"Blount County, Alabama",42,43,354,3174,13227
1009,"Blount County, Alabama",44-45,128,1259,7425,30688
1009,"Blount County, Alabama",48-49,32,166,1359,6020
1009,"Blount County, Alabama",51,9,,,
1009,"Blount County, Alabama",52,39,210,2070,8068
1009,"Blount County, Alabama",53,10,26,359,2176
1009,"Blount County, Alabama",54,43,218,1933,8174
1009,"Blount County, Alabama",55,3,34,827,3516
1009,"Blount County, Alabama",56,22,380,3064,10596
1009,"Blount County, Alabama",61,2,,,
